executor_p,solver_p,preconditioner_p,executor_U,solver_U,preconditioner_U,resolution,omp_threads,mpi_ranks,node,log_id,setup_time,run_time,number_of_iterations_p,number_of_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n531.localdomain\n', 'top': ['top - 22:40:18 up 13:05,  0 users,  load average: 18.36, 21.93, 25.73', 'Tasks: 1029 total,  17 running, 1012 sleeping,   0 stopped,   0 zombie', '%Cpu(s): 19.8 us,  0.1 sy,  0.0 ni, 79.8 id,  0.0 wa,  0.1 hi,  0.1 si,  0.0 st', 'MiB Mem : 193086.6 total, 172328.5 free,  11929.3 used,   8828.8 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 179912.1 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '1025717 ca9551    20   0 3991048 545088  52504 R 100.0   0.3 118:03.34 python3', '1025719 ca9551    20   0 3989768 543748  52248 R 100.0   0.3 118:00.82 python3', '1025721 ca9551    20   0 3991064 545188  52404 R 100.0   0.3 118:03.40 python3', '1025706 ca9551    20   0 3991048 545300  52464 R  94.1   0.3 118:02.09 python3', '1025707 ca9551    20   0 3895808 449964  52500 R  94.1   0.2 118:00.84 python3', '1025708 ca9551    20   0 3990020 543880  52248 R  94.1   0.3 118:03.52 python3', '1025709 ca9551    20   0 3991308 545388  52504 R  94.1   0.3 118:05.41 python3', '1025710 ca9551    20   0 3991496 545312  52216 R  94.1   0.3 118:03.74 python3'], 'uptime': ' 22:40:18 up 13:05,  0 users,  load average: 18.36, 21.93, 25.73\n', 'date': 'Sun Aug  1 22:40:18 CEST 2021\n', 'libOGL.so': '0b4a86185d759ebe2d90ced5681e4036  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.0'}
reference,PCG,DIC,Serial,PBiCGStab,DILU,5,1,32,uc2n531.localdomain,0,12.235155,12.432406,0,0,0,0,0,0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,5,1,32,uc2n531.localdomain,d1131cef497620d047500ec1f016eabc,14.601545,85.189534,137.0,125.0,1600664.0,8561882.0,33371992.0,34512430.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,5,1,32,uc2n531.localdomain,6613f1e8e1f5a7f55e313d3e35f6b6c9,14.813704,85.396229,162.0,125.0,1722497.0,8619045.0,31292113.0,37739820.0
reference,PCG,none,Serial,PBiCGStab,DILU,5,1,32,uc2n531.localdomain,6f5d5f5b97c28aec15eaa99660b79b89,11.996788,82.79282,260.0,125.0,1767521.0,5742975.0,33417097.0,32733563.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,15,1,32,uc2n531.localdomain,04adf1c9a610ba6c57c663c8fe3b231b,19.91931,117.962235,541.0,125.0,1787544.0,14087168.0,33209417.0,64879922.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,15,1,32,uc2n531.localdomain,11ed35b5361ae89a0a63ec9f5e1e0d79,24.825763,141.970654,372.0,125.0,1684943.0,18316171.0,32867968.0,88520755.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,15,1,32,uc2n531.localdomain,b41ef910e204de749ca73df66d399ce1,45.091767,239.669832,792.0,125.0,1662523.0,36661183.0,33095907.0,183635784.0
reference,PCG,none,Serial,PBiCGStab,DILU,15,1,32,uc2n531.localdomain,210f9aa12500c98c9879e67b1e7528ff,28.260776,181.492636,1006.0,125.0,1725489.0,22628173.0,34469860.0,122278123.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,90,1,32,uc2n531.localdomain,ad4b90b775f541e414c8a13301425d1e,80.000101,642.634,4282.0,125.0,1875842.0,68088618.0,35385872.0,527024868.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,75,1,32,uc2n531.localdomain,889cac4ef62b6cf2c8f9c3e6f62b9e96,64.276508,511.584856,3413.0,125.0,1613577.0,59087607.0,33280512.0,410545228.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,75,1,32,uc2n531.localdomain,a9095bb1308089652c52a676bf231ba4,88.748327,814.635066,2829.0,125.0,1782379.0,85301328.0,33888624.0,686096090.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,40,1,32,uc2n531.localdomain,c6d5ea1621cf76288950b449d3c4d4b1,41.250008,243.562297,1556.0,125.0,1535487.0,33162925.0,34047898.0,180735033.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,40,1,32,uc2n531.localdomain,9eb1724ef8b3e845f759b04f5e2bfa72,47.871558,287.846459,996.0,125.0,1537109.0,41277349.0,29808921.0,220412299.0
reference,PCG,none,Serial,PBiCGStab,DILU,40,1,32,uc2n531.localdomain,09effac7fc629a6db3ba5ef937b488e4,79.588534,558.818253,4109.0,125.0,1793049.0,72180930.0,31528623.0,466939393.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,25,1,32,uc2n531.localdomain,022823fcce6dab37647f587349395657,27.358812,201.387225,1100.0,125.0,1714240.0,22343098.0,35417563.0,140581400.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,25,1,32,uc2n531.localdomain,3672432df628c2f1d901551279764030,33.383792,198.020186,641.0,125.0,1795040.0,26974370.0,31328476.0,141861149.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,25,1,32,uc2n531.localdomain,d7879cf70ed67c35b675a28d943ce2bf,70.579442,477.715424,1776.0,125.0,1656108.0,61136190.0,31384168.0,396442829.0
reference,PCG,none,Serial,PBiCGStab,DILU,25,1,32,uc2n531.localdomain,70377edf6c176d62d64f27074ecc3a13,47.338226,392.194384,2639.0,125.0,1692274.0,43857250.0,34905131.0,321636677.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,65,1,32,uc2n531.localdomain,68456b9a56f6c43d681de79b76034522,52.788235,342.792323,2489.0,125.0,1534878.0,47772294.0,32107606.0,275474581.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,65,1,32,uc2n531.localdomain,e3df94d70deda22c29d5da8cc4aed147,71.658489,476.020426,1621.0,125.0,1651120.0,71949580.0,33197788.0,392666131.0
reference,PCG,none,Serial,PBiCGStab,DILU,65,1,32,uc2n531.localdomain,4b3639c8eb3f119da8db159bf9b22588,116.194585,856.085247,6209.0,125.0,1967530.0,112298128.0,34551157.0,752271707.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,95,1,32,uc2n531.localdomain,d5fb9f88e2e4706c2d66fa8d7e41bbac,85.136215,596.314184,3884.0,125.0,1530776.0,72429595.0,36173158.0,471912550.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,30,1,32,uc2n531.localdomain,2498d8c46075fd49c7b4c92d94dfb4e2,30.985499,205.411449,1210.0,125.0,1614895.0,25298195.0,33239155.0,145765405.0
reference,PBiCGStab,DIC,Serial,PBiCGStab,DILU,30,1,32,uc2n531.localdomain,4b46a1ed4c25a331098b4cb3210cbf8c,39.253746,219.885823,686.0,125.0,1493110.0,32190270.0,31755639.0,160965687.0
reference,PBiCGStab,none,Serial,PBiCGStab,DILU,30,1,32,uc2n531.localdomain,be04194010a682d3e3274e38b5853981,85.14431,612.925836,2101.0,125.0,1872967.0,79038847.0,35085011.0,513636934.0
reference,PCG,none,Serial,PBiCGStab,DILU,30,1,32,uc2n531.localdomain,8932735e2061a35e6d09ece1ca43123e,58.433803,413.947045,2916.0,125.0,1738211.0,48878056.0,32021845.0,329197574.0
reference,PCG,DIC,Serial,PBiCGStab,DILU,70,1,32,uc2n531.localdomain,409f86096002c858ba7479f776f45f2c,64.317944,472.797647,3459.0,125.0,1554860.0,53941244.0,32058181.0,402012955.0
